fixture_id,bookmaker,selection,price,captured_at,phase
FX1,B365,home,1.90,2026-09-11 09:00:00,prematch
FX1,B365,draw,3.60,2026-09-11 09:00:00,prematch
FX1,B365,away,4.20,2026-09-11 09:00:00,prematch
FX1,PINN,home,1.95,2026-09-12 13:45:00,closing
FX2,B365,home,2.40,2026-09-18 09:00:00,prematch
FX2,B365,draw,3.30,2026-09-18 09:00:00,prematch
FX2,B365,away,3.00,2026-09-18 09:00:00,prematch
FX3,B365,home,2.10,2026-10-02 09:00:00,prematch
FX3,B365,draw,3.40,2026-10-02 09:00:00,prematch
FX3,B365,away,3.50,2026-10-02 09:00:00,prematch
FX5,B365,home,1.40,2026-09-11 09:00:00,prematch
